Player,Role,Batting,Bowling,Consistency,Impact,Actual Price,Clean Name,Matched Name,Value Score,Predicted Price,Difference,Classification
arshdeep singh,BOWL,14.84711578947368,16.599836810197417,28140000.9703489,1.7999999999999998,18.0,arshdeep singh,arshdeep singh,0.868515479855621,11.935556634400164,-6.0644433655998355,Overvalued
yudhvir singh,AR,16.662857142857142,0.9821091709153468,1750000.8851021945,0.0,0.35,yudhvir singh,yudhvir singh,-0.6701684613081845,0.7719006743272043,0.42190067432720435,Undervalued
simarjeet singh,BOWL,18.9735,2.0826053708978085,3710002.734144072,0.0,1.5,simarjeet singh,simarjeet singh,-0.557769998600383,1.5873883352706963,0.08738833527069634,Undervalued
shubman gill,BAT,303.52295473113855,0.0,35560000.83481745,14.25,16.5,shubman gill,shubman gill,1.3341811255563814,15.314113413966302,-1.185886586033698,Overvalued
akash deep,BOWL,21.6975,1.982497923479045,5250000.277512242,0.0,8.0,akash deep,akash deep,-0.546545000134888,1.6688293756745836,-6.331170624325416,Overvalued
ramandeep singh,AR,62.61060294117647,0.9199999722222624,2380000.9697462465,0.0,4.0,ramandeep singh,ramandeep singh,-0.4847684152254901,2.1170387329485183,-1.8829612670514817,Overvalued
akash singh,BOWL,0.0,1.5013982893152649,7250000.0,0.0,0.3,akash singh,akash singh,-0.6641339217405143,0.8156832353903702,0.5156832353903702,Undervalued
vishnu vinod,BAT,16.29924193548387,0.0,1109999.9999999998,0.0,0.95,vishnu vinod,vishnu vinod,-0.7574263806721699,0.1388158896543139,-0.811184110345686,Overvalued
j fraser0mcgurk,BAT,112.07296268412438,0.0,13749999.999999998,1.7999999999999998,9.0,j fraser0mcgurk,jake frasermcgurk,-0.20511899641105108,4.145986860344617,-4.854013139655383,Overvalued
shashank singh,AR,150.63453244274808,0.1779999473334331,14980000.306564989,1.9499999999999995,5.5,shashank singh,shashank singh,-0.01867569018366151,5.498694113015894,-0.0013058869841060528,Overvalued
b sai sudharsan,AR,274.3817364121357,0.0,35630000.53969701,8.4,8.5,b sai sudharsan,sai sudharsan,0.915614952664838,12.277278736175798,3.7772787361757985,Undervalued
abhishek sharma,AR,200.2967522165544,1.51322577520049,21980000.554983623,5.25,14.0,abhishek sharma,abhishek sharma,0.5034662668182136,9.28700502882313,-4.712994971176871,Overvalued
ls livingstone,AR,103.21534517203108,2.3919602938702687,9590000.36924035,3.75,8.75,ls livingstone,liam livingstone,0.03619695973685551,5.896813160691692,-2.853186839308308,Overvalued
ra bawa,AR,8.725585714285714,0.0,330000.0,0.0,0.3,ra bawa,raj bawa,-0.7925818720584273,0.0,-0.3,Overvalued
rasikh salam,BOWL,12.082883333333331,1.7337775667116504,1750000.2242045763,0.0,6.0,rasikh salam,rasikh salam,-0.6258776754198031,1.0932448325597015,-4.9067551674402985,Overvalued
pj cummins,AR,95.53592421479904,11.493381680033115,28630000.78168271,1.95,18.0,pj cummins,pat cummins,0.7799232631727853,11.292791085655074,-6.7072089143449265,Overvalued
prabhsimran singh,BAT,239.69169333333332,0.0,34090000.245361894,7.05,4.0,prabhsimran singh,prabhsimran singh,0.6965336700327316,10.687772274734167,6.687772274734167,Undervalued
ishan kishan,BAT,169.81568788609437,0.0,13720001.06910711,6.8999999999999995,11.25,ishan kishan,ishan kishan,0.29164792528650096,7.750193583904348,-3.4998064160956517,Overvalued
kuldeep yadav,BOWL,45.47978055555555,11.44936072940544,21770000.434428606,1.7999999999999998,13.25,kuldeep yadav,kuldeep yadav,0.5267608491697725,9.45601485348517,-3.7939851465148298,Overvalued
virat kohli,BAT,296.3940907345343,0.0,35350000.93286772,17.25,21.0,virat kohli,virat kohli,1.4579774106503296,16.212296009463227,-4.787703990536773,Overvalued
mandeep singh,AR,15.468877777777776,0.0,0.2321131331877682,0.4499999999999999,4.0,mandeep singh,ramandeep singh,-0.7438466626181982,0.23734119191662817,-3.762658808083372,Overvalued
noor ahmad,BOWL,15.793516666666664,10.650929338083376,35350000.64057599,2.8,10.0,noor ahmad,noor ahmad,0.46542013264183757,9.010967864079225,-0.989032135920775,Overvalued
faf du plessis,BAT,180.297358751969,0.0,11760001.245709565,13.35,2.0,faf du plessis,faf du plessis,0.6545731440095994,10.38333491505676,8.38333491505676,Undervalued
m prasidh krishna,BOWL,5.1,12.30110008975747,35000000.46580686,1.4,9.5,m prasidh krishna,prasidh krishna,0.486255189393369,9.162133024941802,-0.33786697505819774,Overvalued
azmatullah omarzai,AR,45.78817272727272,1.6898662964562874,10630000.0,0.0,2.4,azmatullah omarzai,azmatullah omarzai,-0.4431967962980072,2.418654444267799,0.018654444267799164,Undervalued
washington sundar,AR,82.6719848708487,3.886518304298115,9450000.43285506,0.0,3.2,washington sundar,washington sundar,-0.11557462161855994,4.795660628036705,1.595660628036705,Undervalued
yash thakur,BOWL,0.0,3.983225754199525,1750002.5455836924,1.2,1.6,yash thakur,yash thakur,-0.42512691601709407,2.549757344154596,0.9497573441545959,Undervalued
